Column_Name,Data_Type,Min_Value,Max_Value,Unique_Values_Count,Missing_Values_Count,Mean_Value,Std_Dev,Sample_Values,Role,Skip_reason_phik,Phik_high_target,Phik_duplicate_feature,Data_leakage
Origin,STRING,ABE,YUM,388,0,,,"PDX, PBI, ASE, ISP, PVU",cat,,,,
Dest,STRING,ABE,YUM,388,0,,,"ACV, ALS, BLV, DEC, FOD",cat,,,,
OriginCityName,STRING,"Aberdeen, SD","Yuma, AZ",381,0,,,"Albuquerque, NM, Scranton/Wilkes-Barre, PA, Moab, UT, Dayton, OH, Dodge City, KS",cat,,,,
DestCityName,STRING,"Aberdeen, SD","Yuma, AZ",381,0,,,"Detroit, MI, Sanford, FL, Baltimore, MD, New York, NY, Cleveland, OH",cat,,,,
DestStateName,STRING,Alabama,Wyoming,53,0,,,"Vermont, Georgia, Louisiana, North Dakota, Tennessee",cat,,,,
OriginStateName,STRING,Alabama,Wyoming,53,0,,,"Michigan, South Dakota, Wisconsin, Minnesota, West Virginia",cat,,,,
OriginState,STRING,AK,WY,53,0,,,"KY, MI, OH, NJ, TX",cat,,,,
DestState,STRING,AK,WY,53,0,,,"CT, KS, WY, AR, MA",cat,,,,
Operating_Airline,STRING,9E,ZW,28,0,,,"NK, B6, G4, VX, AA",cat,,,,
IATA_Code_Operating_Airline,STRING,9E,ZW,28,0,,,"QX, ZW, WN, HA, UA",cat,,,,
Airline,STRING,Air Wisconsin Airlines Corp,Virgin America,28,0,,,"SkyWest Airlines Inc., Capital Cargo International, Virgin America, Republic Airlines, Horizon Air",cat,,,,
Operated_or_Branded_Code_Share_Partners,STRING,AA,WN,16,0,,,"AA, HA_CODESHARE, DL_CODESHARE, G4, VX",cat,,,,
Marketing_Airline_Network,STRING,AA,WN,11,0,,,"B6, F9, AS, AA, G4",hot,,,,
IATA_Code_Marketing_Airline,STRING,AA,WN,11,0,,,"B6, DL, HA, AA, F9",cat,,,,
Cancelled,BOOLEAN,false,true,2,0,,,"false, true",tgt,,,,
Diverted,BOOLEAN,false,true,2,0,,,"false, true",cat,,,,true
